Branch,Customer,Recency,Lifetime_pc,Exp_buy_range,C_latency,Buys_pd,Buy_days_pd,Buy_concentration,Spend_per_buy,Spend_pd,LM_P,LM_P_2,LM_P_3,Actual,Predict Actual,Spend,Error,ML error estimate
303,55568,4,0.9666666666666668,13.846153846153848,0.2888888888888888,0.2492836676217765,0.0773638968481375,3.2222222222222223,19.396091954022985,4.83512893982808,14.831714092211511,14.613493333333334,13.39891757575758,558.1800000000001,1062.9612168733647,1740.646418338109,504.78121687336466,0.3956760018904437
324,55580,54,0.8305555555555556,40.0,1.35,0.0686567164179104,0.0298507462686567,2.3000000000000003,44.181304347826085,3.0333432835820893,2.76390013568521,3.372950303030303,0.0,0.0,0.0,1092.003582089552,0.0,0.20100743879424848
303,55615,4,0.9972222222222222,5.217391304347826,0.7666666666666666,0.9194444444444444,0.1916666666666666,4.797101449275361,11.827885196374622,10.875083333333333,1.812105454545453,6.745123636363636,5.095512727272728,3654.99,1833.588213359791,3915.0299999999997,710.249028052589,0.22455157591716918
365,55645,5,0.9722222222222222,4.615384615384615,1.0833333333333337,0.6647727272727273,0.2244318181818181,2.9620253164556964,57.95162393162393,38.52465909090909,72.04437162809919,1.7042923636363594,10.623198787878792,34782.26,12981.718302688087,13868.877272727272,17158.857292517296,0.32151273755531634
341,55649,20,0.9583333333333334,15.0,1.3333333333333333,0.1201117318435754,0.0670391061452514,1.7916666666666667,18.07906976744186,2.171508379888268,4.206703590993737,3.2072193939393947,3.939347878787879,1609.26,828.4058165461421,781.7430167597765,423.0143631311864,0.5143117724065548
222,55661,12,0.9833333333333332,12.413793103448276,0.9666666666666668,0.1994459833795014,0.0803324099722991,2.4827586206896552,24.61722222222222,4.909806094182826,0.0,0.5281648484848485,0.3801890909090909,85.51000000000002,674.8060495727776,1767.5301939058172,589.2960495727776,0.16457701634852084
306,55663,5,0.9944444444444444,6.315789473684211,0.7916666666666666,1.5944444444444446,0.1611111111111111,9.89655172413793,35.12254355400697,56.00094444444444,28.97226468686869,9.401692363636364,35.98975878787879,18943.59,15596.911348885755,20160.34,612.2821005597689,0.19243886383165568
646,55664,19,0.9611111111111112,5.901639344262295,3.219444444444444,0.6787709497206704,0.1731843575418994,3.9193548387096775,30.711810699588472,20.846284916201117,9.671517048925004,9.030152727272723,10.567638787878789,5240.83,5236.592640804611,7504.662569832402,4.237359195389217,0.23104555051193082
168,55668,5,0.8583333333333333,32.72727272727273,0.1527777777777778,0.1061093247588424,0.0385852090032154,2.75,13.71878787878788,1.4556913183279745,4.4475960011692495,6.743286060606061,5.847424242424242,563.0999999999999,398.2823812000105,524.0488745980708,164.81761879998942,0.8011523418113644
303,55684,28,0.9111111111111112,45.0,0.6222222222222222,0.0489913544668587,0.0259365994236311,1.8888888888888888,14.85058823529412,0.727550432276657,0.5178031417343465,0.0,0.1595127272727272,1330.49,99.57638738019273,261.9181556195965,898.3421137842072,0.2294919859586578
303,55707,3,1.0,32.72727272727273,0.0916666666666666,0.1440443213296399,0.0332409972299169,4.333333333333333,14.842884615384614,2.13803324099723,4.805998934273482,2.49821090909091,6.22916,929.27,949.302140502528,769.6919667590028,20.032140502528023,0.36654512538437095
303,55719,8,0.9638888888888888,10.285714285714286,0.7777777777777777,0.1875,0.1022727272727272,1.8333333333333333,43.39212121212122,8.136022727272728,1.759828363636364,2.609881212121211,4.979535757575757,1916.53,741.6991195450152,2928.968181818182,253.11937928766451,0.21747082615742494
168,55722,4,0.9472222222222222,2.6865671641791047,1.4888888888888887,1.4824561403508771,0.3947368421052631,3.755555555555556,41.551656804733724,61.59850877192982,126.9596878596491,101.6802775757576,49.7038096969697,7955.449999999999,21780.144884925954,22175.463157894737,13824.694884925955,0.23257803072612684
303,55727,5,0.9916666666666668,11.612903225806452,0.4305555555555555,0.4930362116991643,0.0891364902506963,5.53125,36.65293785310735,18.071225626740947,16.879513692242764,31.06352242424243,22.70263757575757,5622.6900000000005,5259.235831177726,6505.641225626741,363.45416882227437,0.31009296922242474
303,55761,3,1.0,2.857142857142857,1.05,2.418282548476454,0.3490304709141274,6.928571428571428,21.208499427262318,51.28814404432133,83.18903984823302,83.0754812121212,72.94973454545456,24648.49,17338.542892604564,18463.731855955677,3948.56220966014,0.23081527831498813
241,55762,13,0.8055555555555556,13.846153846153848,0.9388888888888888,0.2281879194630872,0.0906040268456375,2.5185185185185186,151.83294117647063,34.64644295302014,0.0,25.486518787878783,12.685258181818185,5193.1,3148.174506397392,12472.719463087251,2044.9254936026082,0.2187898524426387
344,55767,28,0.95,18.0,1.5555555555555556,0.1800554016620498,0.0581717451523545,3.095238095238096,106.096,19.10315789473684,0.0,0.961460606060606,0.961460606060606,466.13000000000005,0.0,6877.136842105262,466.13000000000005,0.07294641311537897
421,55768,15,0.95,7.346938775510204,2.0416666666666665,0.1960227272727272,0.1392045454545454,1.4081632653061225,31.448840579710147,6.1646875,5.181992713498621,3.8923830303030313,3.6250860606060606,1108.52,530.9456560362406,2219.2875,505.6573400342952,0.13006757034850783
82,55771,18,0.9388888888888888,36.0,0.5,0.0945558739255014,0.0315186246418338,3.0,117.68757575757576,11.128051575931233,18.556258064426505,5.72830303030303,0.0,13259.839999999998,2257.799926367726,4006.098567335244,9127.93584817359,0.2387223809815734
1289,55785,4,0.9388888888888888,5.901639344262295,0.6777777777777777,0.8348082595870207,0.1828908554572271,4.564516129032258,68.27936395759718,57.00017699115045,213.67601271189773,227.84043636363637,109.22578666666668,18779.07,21490.140020684565,20520.063716814162,2711.070020684565,0.38106261652001133
