Customer,Predicted_spend,Testing_spend,Std_dev,Training_spend,MSE,MAE,Slope,Branch,Bus_Type_spend,Bus_Type_ID,Train_spend_pd,Test_spend_pd,Predict_spend_pd,Predict_ratio,Spend_decrease,Actual_ratio
255988,147.60907431654576,105.01,415.4618464308408,2728.252087178022,152212.082631705,294.74879354154183,-19.495480825351866,1450.0,8589952.030000001,248,9.09417362392674,2.1002,2.952181486330915,0.3246233916805519,6.993973623926742,1.405666834744746
113103,191.64555064761103,0.0,1007.8802253056252,3187.1971206094518,911162.0435587482,571.7638470911501,-19.316346185511826,866.0,8589952.030000001,248,10.623990402031504,0.0,3.832911012952221,0.3607788474864677,10.623990402031504,2.0
101006,516.0818237587615,89.49,818.4711680669767,6578.782142362124,600181.489632614,640.253559629384,-18.171099360064023,166.0,8589952.030000001,248,21.92927380787375,1.7897999999999998,10.32163647517523,0.4706784440563292,20.13947380787375,5.766921709227417
183589,0.0,0.0,104.47424099161198,613.2185342476592,7125.881996073347,72.06165045165649,-18.08229782804576,321.0,8589952.030000001,248,2.044061780825531,0.0,0.0,0.0,2.044061780825531,1.0
291808,0.0,0.0,103.86496505100752,328.4498586549706,7061.1911771216855,60.91251924146727,-17.91544683572567,344.0,8589952.030000001,248,1.0948328621832355,0.0,0.0,0.0,1.0948328621832355,1.0
55166,1521.4987610050082,4170.719999999999,406.9840607374459,17194.16455809072,146854.86543674037,283.20741373330475,-16.394964815238872,163.0,8589952.030000001,248,57.3138818603024,83.41439999999999,30.429975220100165,0.5309355121726108,-26.100518139697584,0.3648048205118081
118776,66.84315867853458,0.0,323.4709522028226,1661.472337560257,92051.9646131057,238.1120595854853,-16.023265713349748,1291.0,8589952.030000001,248,5.538241125200857,0.0,1.3368631735706915,0.2413876794723716,5.538241125200857,2.0
166597,7.893135595963318,0.0,279.0954597856796,1026.2093113592678,67988.76710549524,153.19996881667373,-16.015450873743585,283.0,8589952.030000001,248,3.4206977045308924,0.0,0.1578627119192663,0.0461492729129992,3.4206977045308924,2.0
127551,0.0,0.0,116.32753546763392,774.0256669345544,10101.824806757277,76.19316244635111,-15.86710395534026,1409.0,8589952.030000001,248,2.5800855564485143,0.0,0.0,0.0,2.5800855564485143,1.0
114052,17.334810383308515,2.88,136.1578327585096,1116.9066535487025,14640.688203368563,109.4663423411636,-15.741747914099758,27.0,8589952.030000001,248,3.723022178495675,0.0576,0.3466962076661703,0.0931222515054305,3.665422178495675,6.0190313830932345
261109,7.785407746337336,0.0,135.1284384479779,987.2504032620998,14491.567178569716,103.43982298924486,-15.343178174504365,372.0,8589952.030000001,248,3.2908346775403325,0.0,0.1557081549267467,0.047315702605616,3.2908346775403325,2.0
