Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
45308,68195.81054545454,14.901212121212044,14.901212121212044,683931.0700000001,684118.7812121212,665139.9620827576,562394.8982102264,551531.6900000001,132587.0912121212,113608.27208275755,10863.208210226381,0,0,1
105596,260.2623636363636,15.1550303030303,15.1550303030303,3284.6000000000004,4800.10303030303,5094.164571523744,1391.4207802418823,438.73,4361.37303030303,4655.434571523743,952.6907802418823,0,0,1
78223,553.4952727272729,15.263939393939392,15.263939393939392,6221.83,7748.223939393941,7579.6748120097,3665.497697901279,4415.360000000001,3332.86393939394,3164.3148120096994,749.8623020987216,0,0,1
57270,388.6127272727272,15.287393939393937,15.287393939393937,4632.45,6102.799393939393,5975.303684615496,2329.9584966077964,4172.03,1930.769393939393,1803.2736846154967,1842.0715033922033,0,1,0
73319,522.3140000000001,15.411999999999992,15.411999999999992,5916.68,7457.879999999999,7407.220985289412,3463.95698170783,4820.98,2636.8999999999996,2586.2409852894125,1357.0230182921696,0,0,1
57969,872.718,16.181333333333345,16.181333333333345,9455.34,11073.473333333335,10290.795482240592,6158.801037738143,9312.37,1761.1033333333344,978.425482240591,3153.5689622618575,0,1,0
101336,950.4323636363636,17.239696969696976,17.239696969696976,10369.25,12004.079696969697,11801.26920925832,7164.719607630985,9382.64,2621.4396969696973,2418.6292092583208,2217.9203923690147,0,0,1
70457,16670.204909090906,18.292242424242456,18.292242424242456,167613.58000000002,169354.42424242423,163273.3793837022,136358.867326018,162279.79,7074.6342424242175,993.5893837022013,25920.922673982015,0,1,0
116969,2606.905818181818,19.09715151515153,19.09715151515153,27108.04,28838.14515151515,24872.579682518848,19681.836492590628,7553.820000000001,21284.32515151515,17318.75968251885,12128.016492590628,0,0,1
53073,1187.634,20.130666666666663,20.130666666666663,12935.01,14795.286666666663,14492.85035769796,9361.83149885197,11836.4,2958.8866666666636,2656.4503576979605,2474.568501148029,0,0,1
44138,2089.988909090909,20.404242424242444,20.404242424242444,22005.83,23858.50424242425,22075.47299135546,16346.97014600395,19228.86,4629.644242424249,2846.612991355458,2881.88985399605,0,1,0
88428,931.5323636363636,20.93503030303032,20.93503030303032,10257.4,12350.90303030303,12722.68684057747,7489.374365790733,12514.14,163.23696969696903,208.54684057747,5024.765634209267,1,0,0
57497,619.560909090909,22.44757575757576,22.44757575757576,7267.05,9450.507575757574,9102.878682305123,4733.258291768594,8033.380000000001,1417.1275757575731,1069.4986823051222,3300.121708231407,0,1,0
88462,1555.332909090909,23.314909090909108,23.314909090909108,17175.35,18933.99090909091,18888.821588692063,12971.747947643344,15510.4,3423.59090909091,3378.421588692063,2538.652052356656,0,0,1
63070,1537.9618181818184,27.044484848484867,27.044484848484867,16596.620000000003,19301.06848484849,18244.285669857232,12461.021734883121,22135.47,2834.4015151515123,3891.184330142769,9674.44826511688,1,0,0
92121,3940.630363636364,27.112363636363604,27.112363636363604,40626.36,43337.59636363637,42991.817116108126,32851.747139342384,28553.48,14784.116363636367,14438.337116108127,4298.267139342384,0,0,1
9485,1150.5798181818182,27.84648484848484,27.84648484848484,12758.89,15543.538484848485,16338.540790428922,10032.838009585495,4057.68,11485.858484848484,12280.860790428922,5975.158009585495,0,0,1
74394,398.77,28.66866666666667,28.66866666666667,5341.71,8144.656666666668,7783.159722022437,3367.890230585137,4292.05,3852.6066666666675,3491.1097220224365,924.1597694148631,0,0,1
20858,5319.918000000001,28.882000000000037,28.882000000000037,55133.02,57387.070000000014,55362.97401658358,44121.81627478646,60293.96,2906.889999999985,4930.985983416416,16172.143725213537,1,0,0
48828,758.3303636363637,28.911030303030284,28.911030303030284,9216.15,11775.403030303029,11413.742962247234,6510.049247047573,5825.12,5950.283030303029,5588.622962247234,684.929247047573,0,0,1
64336,1412.2196363636365,29.09630303030305,29.09630303030305,15530.69,18341.160303030305,17185.396833577062,11572.251249198162,16430.309999999998,1910.8503030303073,755.0868335770647,4858.058750801836,0,1,0
68231,810.0998181818183,29.67515151515153,29.67515151515153,9475.68,12403.895151515157,12490.500495689324,7057.910871682048,8269.58,4134.315151515157,4220.9204956893245,1211.6691283179516,0,0,1
77554,1288.3032727272728,31.831939393939383,31.831939393939383,14431.39,17498.66393939394,17623.047798447533,11274.797293219846,15164.86,2333.80393939394,2458.1877984475323,3890.0627067801543,1,0,0
86148,2562.402727272728,32.45072727272725,32.45072727272725,27158.34,30329.38272727273,28584.245483581613,21205.84548615769,32890.24,2560.8572727272694,4305.994516418385,11684.394513842308,1,0,0
92405,720.8334545454547,32.9601212121212,32.9601212121212,8691.54,11987.552121212122,9697.003751211294,5588.714565173024,5864.24,6123.312121212122,3832.763751211294,275.52543482697547,0,0,1
2460,21841.10927272728,33.53727272727252,33.53727272727252,220201.2,223273.9972727273,220235.41079622187,182117.4677281164,163947.11,59326.88727272733,56288.30079622188,18170.357728116418,0,0,1
43782,272.0827272727272,34.97006060606061,34.97006060606061,4294.48,7791.48606060606,6060.893734678749,2218.6916641042917,1788.16,6003.32606060606,4272.733734678749,430.5316641042916,0,0,1
74719,83.05927272727277,37.55660606060605,37.55660606060605,3926.62,6276.300606060604,6669.003022863592,2306.0098236492922,1013.7499999999998,5262.550606060604,5655.253022863592,1292.2598236492925,0,0,1
76917,2597.348,39.07133333333332,39.07133333333332,27731.69,31638.823333333326,31300.643374041,22552.833270210554,21863.44,9775.383333333328,9437.203374041,689.3932702105558,0,0,1
141716,1661.064,41.44933333333334,41.44933333333334,18475.86,22620.79333333333,21884.86703998015,14745.854318080528,12042.73,10578.063333333332,9842.137039980149,2703.1243180805286,0,0,1
83184,2261.741636363636,44.695636363636375,44.695636363636375,24717.3,29098.283636363634,23912.79229605183,18261.2266539478,5318.6900000000005,23779.593636363636,18594.10229605183,12942.5366539478,0,0,1
57543,672.1463636363635,45.500363636363645,45.500363636363645,9090.86,13319.016363636363,10277.722425561,5996.155433692329,5952.55,7366.466363636363,4325.172425561,43.605433692328916,0,0,1
