Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,LASSO_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_LASSO,LASSO,Unseasoned_LM,Season_LM
88076,3728.904727272728,87.76939393939396,87.76939393939396,42003.49,50015.60939393939,48059.12835248367,44778.350278985934,25586.12,24429.48939393939,22473.00835248367,19192.230278985935,1,0,0
149694,1253.4989090909094,88.28357575757579,88.28357575757579,16507.75,25336.107575757585,25170.08361356025,12402.373631317774,12807.44,12528.667575757585,12362.64361356025,405.0663686822263,1,0,0
63863,-110.4945454545454,88.4221212121212,88.4221212121212,2874.05,11716.262121212118,12212.220706749516,4395.233590923772,2347.5200000000004,9368.742121212117,9864.700706749516,2047.7135909237713,1,0,0
20873,3566.146545454545,88.47121212121216,88.47121212121216,40345.4,48489.791212121214,45663.42625244684,38386.03586790597,111067.64,62577.848787878786,65404.213747553156,72681.60413209403,0,1,0
71415,3691.389818181818,-88.83018181818183,88.83018181818183,32916.54,24033.521818181816,24539.339124982205,31808.87102007567,28088.31,4054.788181818185,3548.970875017796,3720.5610200756673,0,0,1
75996,1228.8778181818184,-89.24284848484848,89.24284848484848,8272.85,810.3402424242435,773.6699038116755,9209.242619832976,3068.709999999999,2258.3697575757556,2295.040096188324,6140.532619832977,0,1,0
141374,595.0861818181819,-89.25648484848486,89.25648484848486,1934.32,0.0,0.0,-1453.0576056582922,2.54,2.54,2.54,1455.5976056582922,0,0,0
82006,1192.7363636363636,-89.3489696969697,89.3489696969697,7906.66,660.8928484848482,639.7254972650626,9049.334326810187,3997.29,3336.3971515151516,3357.5645027349374,5052.044326810187,0,1,0
70375,851.8661818181818,-89.65981818181815,89.65981818181815,4483.970000000001,0.0,0.0,5553.750182040241,3835.06,3835.06,3835.06,1718.6901820402413,1,0,0
55664,496.58800000000014,89.75266666666667,89.75266666666667,9004.75,17980.01666666667,17659.77329207911,9701.749087979437,5995.18,11984.83666666667,11664.59329207911,3706.5690879794365,1,0,0
118922,-64.43290909090905,89.7930909090909,89.7930909090909,3396.36,12375.66909090909,11361.200074198334,5948.0430204448985,6137.3,6238.36909090909,5223.900074198334,189.25697955510168,1,0,0
96908,416.4209090909092,89.84757575757574,89.84757575757574,9480.990000000002,17192.107575757575,16202.742391125314,7956.623074765243,7266.21,9925.897575757575,8936.532391125314,690.4130747652425,1,0,0
116223,284.8170909090909,90.37375757575758,90.37375757575758,8014.269999999999,15952.365757575755,14789.197399259065,10878.634754704754,3781.58,12170.785757575755,11007.617399259065,7097.054754704754,1,0,0
100186,55.22418181818182,90.47818181818182,90.47818181818182,4623.760000000001,13671.57818181818,13060.866452863183,4640.8522754370915,782.31,12889.26818181818,12278.556452863184,3858.5422754370916,1,0,0
70703,1081.1338181818182,-90.51351515151516,90.51351515151516,6738.23,261.48381818181804,263.5898541286448,8249.118621243424,2636.54,2375.056181818182,2372.9501458713553,5612.578621243424,0,0,1
