Branch,Bus_Type_ID,Customer,Training_spend,Predicted_spend,Testing_spend,Intercept,Slope,Churn_time,Error_slope_ratio,ML_predicts
161,142,18303,1979.4654105841032,2608.8342752063418,3201.4800000000005,169.9256143768129,6.226872595910545,32.99109017640172,2.909737192043508,1962.2167
301,142,126327,1298.1008115335835,1946.023919180368,1683.0399999999995,100.9911609243035,6.404204495345528,21.635013525559728,2.1899069184601068,1444.1871
155,142,76958,171.00767148369357,909.53596527054,261.22,-15.698492459528218,7.288724357310572,2.442966735481337,0.6286731725281959,1107.2072
156,142,57735,3698.2758975416473,4614.065293772703,3839.68,329.0235184131512,9.067571409114116,41.091954417129415,2.6113521837423144,3251.1987
481,142,64759,2074.039865037302,3374.643925992476,1481.6,149.5747078719422,12.850950807064002,15.954152807979249,1.542579830450338,1956.9149
1349,142,122065,3385.454662602747,4808.008951769417,185.8,275.25146128123754,14.065334439786028,24.18181901859105,1.6967686543717475,2634.0615
324,142,17682,1291.7790884613685,2725.153475688715,144.92000000000002,65.48294658768228,14.154436057434353,9.226993489009775,1.3872760042215355,1487.5697
1349,142,96874,1015.0138958750364,2634.0432011926014,1288.8100000000002,29.5733256087718,15.98401421749596,6.3438368492189765,0.9186975614828624,2085.9517
224,142,102778,625.0428121729992,3097.4536274342827,2243.1199999999994,-47.301556021458254,24.401297164168483,2.60434505072083,0.6429784232367233,1657.0458
365,142,81539,972.7048400821276,3824.4752208294326,1128.3,-29.39320126485705,28.14748561623773,3.4739458574361697,0.5620373817494525,1823.9329
224,142,73485,17351.18581627373,23147.022755999245,24632.83,1477.1081195123425,57.335658247784586,30.44067687065567,2.1133293957897465,13975.415
502,142,54768,1667.4566855751032,7771.557492593995,717.1200000000001,-104.35716058040418,60.24507314175878,2.7790944759585057,0.6507111486484076,2491.612
168,142,102536,15930.527956435542,22965.90008502081,12985.64,1280.0573629328808,69.55454060237189,22.757897080622204,5.025573634416887,12874.213
304,142,96908,6362.417165386766,15479.831932762618,2660.75,231.1608906762026,90.01796130277201,7.069352405985296,1.16019472619694,5305.1826
168,142,75868,4049.739005245913,13416.948556071471,28647.120000000003,-11.110727367263223,92.46325064263436,4.401890223093384,0.4085630399938301,3696.7083
441,142,191156,3311.6607541278045,14147.56804240583,837.1999999999999,-150.10490930320617,106.9491077146637,3.0950100505867333,0.4571410465259863,3270.7434
365,142,119279,5192.259877287013,16207.322119584436,15291.920000000002,29.92861434233498,108.73274964141471,4.763541171822948,0.6251095593053423,4490.6855
441,142,75695,8011.243540224551,23068.354524449234,21806.49,132.24144007379834,148.64064754414596,5.376673516929229,1.0819249286496295,6569.353
224,142,102753,11719.04891232762,27471.510449827507,17770.32,472.00565891188194,155.53316273797338,7.512210841235655,0.598253626807561,9567.693
314,142,34628,12604.21643021149,30867.517079906112,15115.6,449.0003716439787,180.31583808381563,7.002342461228606,0.47805313066967,10233.748
304,142,136995,11507.774542136984,32442.175798641063,0.0,220.79330674310225,206.6631438823547,5.559311373013036,0.5601501134487353,9402.983
168,142,77436,8200.381470305774,32024.52256814904,3064.42,-238.1331451781205,235.1491760463773,3.4895240299173507,0.9776555301440276,7003.8486
224,142,68347,14334.960384316142,45044.26021344635,7533.670000000001,69.37111912221462,303.1388709576443,4.731010027827109,1.128257514225539,11713.041
224,142,123355,17989.217991153273,50206.3578036737,10704.08,367.7057411597043,318.04801287902734,5.656986789670841,0.5962419051910139,14573.182
325,142,299850,7993.76031672926,44661.49741387267,8061.899999999998,-829.0797920978014,361.8790719490505,2.208221081969409,0.425817748067013,7449.683
421,206,18752,82244.2677357707,28185.20242874909,81878.93,10664.046059462944,-542.1376190857499,15.174219139441089,-0.3874675731342528,68479.81
382,206,190941,58623.22439816977,38031.47530796075,45570.72,6792.67699999561,-206.745457817474,28.3203982599854,-1.2261067584739458,41428.266
322,206,123759,16299.626595327923,1190.4324720579216,48142.7,2500.0436978900107,-193.3513418571596,8.445402380998924,-1.0144281066539786,9339.821
1572,206,123765,49497.59922769785,35795.836954049046,22486.46,5569.23122196245,-137.6602887094812,35.86782552731728,-3.26567889123705,36184.29
224,206,64394,12522.703257248972,3097.3538809550428,11768.21,1686.9200553561825,-96.58882880695226,12.910003357988632,-0.594305311047924,10922.489
527,206,81689,7718.236531529816,3875.5368628874376,1765.86,945.3136468294284,-38.5533319280993,19.79035008084568,-2.8075581908711924,6623.0957
281,206,68144,5451.405330987328,2410.8391719558967,4358.21,682.3900421461534,-30.4998908994268,18.17135110329109,-1.131286819501373,4819.755
163,206,129325,15783.667133164185,13396.584508502714,52.0,1686.5710567235,-24.045409646018143,65.76527972151744,-7.681154548787984,12442.901
666,206,118728,2655.453065505008,706.3777368179398,2194.82,354.57405145759805,-19.7841655349105,13.27726532752504,-0.6853442425314163,1095.797
161,206,18531,3554.705217231924,1735.8517704364187,686.0599999999998,437.5841391414773,-18.247470537396644,19.74836231795513,-3.1666264778102744,3202.8726
27,206,126378,2507.9949335329266,1159.953060524504,4204.07,311.65295839035514,-13.522992230458335,17.91424952523519,-2.0057938635376287,2308.205
166,206,73319,5755.424894525451,4487.301192081783,6054.95,632.9219306589736,-12.750986934761876,44.27249918865732,-2.263828421107295,4772.3955
156,206,85246,2294.1567977982822,1486.330931196859,2974.34,265.9137880572244,-8.110690728310257,28.676959972478528,-2.249426527346176,2117.185
1069,206,78153,3071.723994094725,2338.75288988332,1492.16,340.3274864537069,-7.367797120940977,43.88177134421036,-2.190067505120647,2294.8376
503,206,117256,3694.419110072612,2968.5178998773454,2927.68,402.3028714134985,-7.302435645830505,52.77741585818017,-1.6661918109350224,3183.31
168,206,81468,2615.0799352106856,1975.6538347166688,10826.88,290.42913922954614,-6.426921268550569,43.58466558684476,-2.672444753272104,2412.4229
866,206,127602,2077.0378019859554,1565.8204606042332,3050.24,230.8255238748652,-5.138165261393251,41.54075603971911,-4.571571368780655,1408.0465
507,206,89061,1463.7484346693066,1108.9611203911286,622.48,162.42232229863436,-3.566106407045265,36.59371086673266,-3.3357676536035217,1365.0392
365,206,84433,14651.786919058008,14391.091098574674,5766.27,1477.5045761852746,-2.7390853954386154,488.3928973019336,-22.814901667513663,11753.843
321,206,72692,3257.803679772203,3056.239646287678,2862.76,334.992845778457,-2.0472172891637186,162.89018398861015,-9.69803828070204,2988.5964
607,206,56803,853.5328591472584,692.5956176889698,3352.32,92.64014056024163,-1.619301032336848,42.67664295736292,-2.572905932155379,769.96265
421,206,189629,2181.3162316302887,2072.656176089574,482.5,223.11465647245703,-1.1073407354284794,218.13162316302888,-19.13079270113314,2240.9395
441,206,74134,1137.406240032048,1070.4803751174252,1173.9199999999996,116.8016609241747,-0.6802304268822039,113.7406240032048,-14.599839404664248,1366.7235
1349,206,77659,996.7685142300606,969.644837413988,667.47,100.9385128033603,-0.2803691956342725,inf,-59.24885866787899,475.18097
