Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff,percent_error
108640,843.1096363636362,70.38830303030305,70.38830303030305,11782.91,18637.400303030307,17708.817823312478,11355.323404782852,998.66,17638.740303030307,16710.15782331248,10356.663404782852,0,0,1,11.370559955122717
68935,657.4014545454545,-70.39654545454546,70.39654545454546,3406.17,0.0,0.0,2416.0820593657663,4169.68,4169.68,4169.68,1753.597940634234,0,0,1,0.579440642774929
51183,30.789090909090877,70.41242424242425,70.41242424242425,3476.4500000000003,10517.692424242425,9958.460142609933,4598.7136193823335,2384.86,8132.832424242424,7573.600142609932,2213.8536193823334,0,0,1,1.9282950023826695
23424,778.8107272727273,-70.43860606060608,70.43860606060608,4618.37,78.41072727272694,81.3598235759412,3176.582627504986,14954.24,14875.829272727273,14872.880176424058,11777.657372495014,0,0,1,0.21242019838554055
61081,-21.13290909090909,70.47775757575758,70.47775757575758,2960.17,10007.94575757576,9191.241150622238,4117.423371667397,6842.959999999999,3164.9857575757615,2348.281150622239,2725.536628332602,0,1,0,0.6017020955357619
80971,822.5538181818183,-70.5468484848485,70.5468484848485,5050.93,163.62381818181814,170.0599637444133,3460.7782370982713,5487.4400000000005,5323.8161818181825,5317.380036255588,2026.6617629017292,0,0,1,0.6306726337050192
87666,7126.303272727273,70.5666060606061,70.5666060606061,74438.53,81495.19060606061,77175.16524607132,62536.43410756008,74911.23000000001,6583.960606060602,2263.9352460713126,12374.795892439928,0,1,0,0.834807199235149
126103,1556.3625454545454,-70.59278787878789,70.59278787878789,12386.95,5327.67121212121,5152.393023983776,9027.850735531072,5301.47,26.20121212121012,149.07697601622385,3726.380735531072,1,0,0,1.7028957507127405
5036,2426.4005454545454,-70.64345454545453,70.64345454545453,21259.52,14020.704545454546,14756.502733421148,16529.7334098555,17299.18,3278.4754545454543,2542.677266578852,769.4465901445001,0,0,1,0.9555212102455434
35426,1187.4319999999998,70.66600000000001,70.66600000000001,15054.29,22120.89,22982.24643146777,14493.507340139813,18416.58,3704.3099999999977,4565.666431467769,3923.0726598601887,1,0,0,0.786981477567486
68579,671.9936363636365,-70.81103030303032,70.81103030303032,3533.44,0.0,0.0,2494.092478714909,586.46,586.46,586.46,1907.6324787149088,1,1,0,4.25279214049536
44360,1851.3147272727272,-70.8139393939394,70.8139393939394,15326.52,8245.126060606059,8381.7036467825,11523.47676171602,18838.97,10593.843939393942,10457.266353217501,7315.493238283982,0,0,1,0.6116829509105869
80630,1079.454909090909,70.82624242424242,70.82624242424242,13981.73,21064.354242424244,19295.66947053584,13044.026427909947,3489.27,17575.084242424244,15806.399470535838,9554.756427909946,0,0,1,3.7383253310606364
129926,376.9359999999998,70.91800000000002,70.91800000000002,7126.93,14052.47,15205.623004400182,7963.624574575,27494.2,13441.730000000001,12288.576995599818,19530.575425425,0,1,0,0.2896474374440791
104399,711.0601818181817,-70.92848484848484,70.92848484848484,3918.82,1.7753333333332648,1.7759493463712854,2730.693534731301,1213.92,1212.1446666666668,1212.1440506536287,1516.773534731301,0,1,0,2.249483931998238
81983,325.19745454545455,70.94145454545456,70.94145454545456,6444.34,13538.485454545456,13105.590033331431,7094.04210054203,2540.3,10998.185454545455,10565.290033331432,4553.74210054203,0,0,1,2.7926001261827462
128759,870.3527272727273,-71.00860606060604,71.00860606060604,5508.139999999999,267.77418181818257,300.2708075046638,3769.001600507243,3519.0700000000006,3251.295818181818,3218.7991924953367,249.93160050724236,0,0,1,1.0710220599497147
7436,572.8914545454545,71.02678787878789,71.02678787878789,9016.61,16027.79878787879,15674.619943143329,9222.670943709094,4553.08,11474.71878787879,11121.539943143329,4669.590943709094,0,0,1,2.0255894787065225
60035,540.7978181818182,-71.0448484848485,71.0448484848485,2258.75,0.0,0.0,1712.7685104572229,375.73,375.73,375.73,1337.0385104572229,1,1,0,4.558508797426937
100378,620.3261818181818,-71.1358181818182,71.1358181818182,3002.15,0.0,0.0,2168.4371342032027,911.67,911.67,911.67,1256.7671342032027,1,1,0,2.378532949645379
101889,1868.2045454545453,71.16254545454545,71.16254545454545,21884.36,29000.614545454544,28845.356989336407,19939.689811723023,30559.18,1558.5654545454563,1713.8230106635929,10619.490188276977,1,0,0,0.6524942688816592
79972,-93.0761818181818,71.17048484848483,71.17048484848483,2271.91,9388.958484848485,9764.895168149946,3818.801234507371,1150.02,8238.938484848484,8614.875168149945,2668.781234507371,0,0,1,3.320638975415533
88127,786.9829090909092,-71.17575757575759,71.17575757575759,5130.18,79.27490909090909,84.56487855314363,3490.986263274779,670.4099999999999,591.1350909090908,585.8451214468562,2820.576263274779,0,1,0,5.20724073816736
38579,163.59472727272723,71.19739393939395,71.19739393939395,5198.68,11959.569393939397,11059.294265073157,5890.869982831053,4035.43,7924.1393939393965,7023.864265073156,1855.439982831053,0,0,1,1.4597874285592993
67416,812.6780000000001,-71.234,71.234,5090.48,129.44200000000035,125.55760100327828,3475.459259522735,12361.05,12231.607999999998,12235.492398996721,8885.590740477264,0,0,1,0.28116213910005505
129824,2217.059454545454,-71.24587878787877,71.24587878787877,19054.86,11839.942121212123,10114.362758119716,14181.028761253157,3860.27,7979.672121212123,6254.092758119716,10320.758761253157,0,1,0,3.673584687406103
18605,2439.0316363636366,-71.28969696969696,71.28969696969696,21194.88,14053.310303030306,14341.879830511536,16401.031363494287,1028.45,13024.860303030306,13313.429830511535,15372.581363494286,1,0,0,15.947329829835468
18666,2042.407090909091,-71.32090909090908,71.32090909090908,17224.079999999998,10082.539090909097,9527.075833011457,12932.670929699745,18905.51,8822.970909090902,9378.434166988542,5972.839070300253,0,0,1,0.684068873555897
73135,824.4976363636364,-71.34969696969698,71.34969696969698,5034.24,150.65163636363616,147.70938430553065,3445.7460929280205,2695.32,2544.668363636364,2547.6106156944697,750.4260929280204,0,0,1,1.2784181814879199
75765,216.98581818181816,71.36781818181818,71.36781818181818,5381.41,12518.191818181818,11444.890820012795,6085.719300769017,3985.41,8532.781818181818,7459.480820012795,2100.3093007690168,0,0,1,1.5269995560730305
63445,672.6641818181818,71.3688484848485,71.3688484848485,9938.240000000002,17075.12484848485,16475.691775269966,9959.6945512686,4961.69,12113.434848484852,11514.001775269968,4998.0045512686,0,0,1,2.0073189883423996
65356,1460.3359999999998,-71.39866666666663,71.39866666666663,11390.419999999998,4250.553333333337,4627.764865126966,8304.310328263982,3436.21,814.3433333333369,1191.5548651269655,4868.100328263982,1,0,0,2.4167062921835343
39083,255.62163636363647,71.41496969696968,71.41496969696968,5769.889999999999,12911.386969696969,10671.83126825574,6157.748803298411,5047.6,7863.786969696968,5624.23126825574,1110.1488032984107,0,0,1,1.2199359702231576
136136,866.449818181818,71.43048484848485,71.43048484848485,11878.87,19021.918484848484,14352.275425298987,10692.996532468775,2744.9,16277.018484848484,11607.375425298987,7948.096532468775,0,0,1,3.8955869184555993
35866,838.4236363636364,71.43963636363637,71.43963636363637,11599.02,18742.98363636364,16717.683625657082,11029.66463015978,5308.66,13434.323636363639,11409.023625657082,5721.0046301597795,0,0,1,2.0776739572999174
53211,1133.0123636363635,-71.45096969696971,71.45096969696971,8210.06,1439.2514545454542,1504.583812244107,5683.89326029332,6402.7300000000005,4963.478545454546,4898.146187755893,718.8367397066804,0,0,1,0.8877296497421131
125423,1209.1147272727271,-71.49127272727272,71.49127272727272,8874.04,1958.0972727272729,2009.8955783429528,6199.446347572768,671.19,1286.9072727272728,1338.7055783429528,5528.2563475727675,1,0,0,9.236499869742945
124059,765.1145454545456,-71.67212121212123,71.67212121212123,4425.9,48.39333333333332,44.90762556580872,3050.7760537175127,3476.96,3428.5666666666666,3432.0523744341913,426.18394628248734,0,0,1,0.8774262728698382
89378,718.665090909091,-71.79557575757576,71.79557575757576,3955.85,0.7093333333333476,0.7442095337832793,2753.1694855864116,4559.54,4558.830666666667,4558.795790466217,1806.3705144135884,0,0,1,0.6038261503542927
108577,900.9656363636363,-71.81036363636365,71.81036363636365,5778.1900000000005,333.15490909090875,348.21712295938147,3944.8304874963287,617.43,284.2750909090912,269.2128770406185,3327.400487496329,0,1,0,6.389113725436615
71049,783.5819999999999,-71.852,71.852,4606.140000000001,65.0619999999999,63.38283770951034,3165.223906866806,372.35,307.2880000000001,308.9671622904897,2792.873906866806,1,0,0,8.500668475538621
18800,869.548,-71.85266666666668,71.85266666666668,5462.110000000001,237.50599999999963,262.77955686400054,3732.732500491802,3334.36,3096.8540000000003,3071.5804431359998,398.37250049180193,0,0,1,1.119474951862367
70984,194.06636363636372,71.86703030303029,71.86703030303029,5174.68,12361.38303030303,11750.764261240509,6024.719940926148,3705.33,8656.05303030303,8045.434261240509,2319.3899409261485,0,0,1,1.6259604248275183
38328,1404.343818181818,71.89648484848486,71.89648484848486,17488.33,24468.42848484848,25103.457163170835,16441.194841883145,10879.14,13589.28848484848,14224.317163170836,5562.054841883146,0,0,1,1.5112586879002519
128726,610.1043636363636,-71.90830303030303,71.90830303030303,2865.17,0.0,0.0,2084.474949537176,832.76,832.76,832.76,1251.7149495371762,1,1,0,2.5030920667865604
53081,1135.874,-71.93800000000002,71.93800000000002,8121.530000000001,1419.893999999999,1240.0205574622662,5572.787772941156,15948.58,14528.686000000002,14708.559442537733,10375.792227058844,0,0,1,0.349422191376358
71824,636.5938181818182,71.9671515151515,71.9671515151515,9604.46,16801.175151515148,16204.702838059537,9696.882006881777,6591.37,10209.80515151515,9613.332838059538,3105.512006881777,0,0,1,1.4711481841986986
54123,1178.4881818181816,71.9701818181818,71.9701818181818,15023.54,22220.558181818174,20714.47290909579,13987.432902631976,16410.06,5810.498181818173,4304.41290909579,2422.6270973680257,0,0,1,0.852369394300324
55294,-11.974545454545478,71.97278787878788,71.97278787878788,3119.0300000000007,10316.308787878788,10307.891436745942,4454.7068099837925,1524.8299999999997,8791.478787878788,8783.061436745942,2929.8768099837926,0,0,1,2.9214448889278106
127555,-110.80927272727268,72.0320606060606,72.0320606060606,2133.3500000000004,9336.55606060606,10728.03485573058,3940.7990313557184,624.05,8712.506060606062,10103.984855730581,3316.749031355718,0,0,1,6.314877063305374
121759,-162.6490909090909,72.05224242424242,72.05224242424242,1616.61,8821.084242424242,8249.956210657978,3091.6523878718253,3127.9,5693.184242424242,5122.056210657978,36.24761212817475,0,0,1,0.9884115182300666
63448,3840.780545454545,-72.15745454545448,72.15745454545448,35160.72,27944.97454545455,26814.767402102963,27641.195424686193,27711.23,233.74454545454864,896.4625978970362,70.03457531380627,0,0,1,0.9974727005869531
75788,2138.7838181818183,-72.16284848484848,72.16284848484848,18191.2,10924.225151515153,10362.620355624083,13704.98411209942,16838.14,5913.9148484848465,6475.519644375916,3133.155887900579,0,0,1,0.8139250601372492
67795,2839.757454545455,-72.16454545454545,72.16454545454545,25150.17,17933.715454545458,17694.90439486347,19545.82480979002,5658.990000000001,12274.725454545456,12035.91439486347,13886.83480979002,0,1,0,3.4539422776484883
114897,1498.847090909091,72.16575757575757,72.16575757575757,18235.93,25452.50575757576,26619.20447318341,17225.092844160165,14523.75,10928.75575757576,12095.45447318341,2701.3428441601645,0,0,1,1.1859948597407808
8419,1293.529818181818,-72.1841818181818,72.1841818181818,9687.009999999998,2552.34690909091,2645.9727800574897,6834.417841322198,1540.03,1012.3169090909098,1105.9427800574897,5294.387841322198,1,0,0,4.437847211627175
97717,1181.8352727272727,-72.22739393939393,72.22739393939393,8568.119999999999,1700.1540606060607,1862.6441201120183,5980.295375426911,8559.36,6859.20593939394,6696.715879887983,2579.0646245730895,0,0,1,0.6986848754377559
