Branch,Bus_Type_ID,Customer,Predicted_spend,Training_spend,Testing_spend,Intercept,Slope,Churn_time,Error_slope_ratio
370,49,240288,0.0,5051.420277544392,0.0,995.8017424915818,-109.03549216380945,4.63433052985724,-0.4160637870437274
202,49,64024,0.0,2700.813536270776,244.21,746.5017802435577,-105.87120591477338,2.5479372983686566,-0.5004337558028504
1092,49,136095,0.0,3087.170436846725,927.1200000000001,784.894279564551,-105.8171635288619,2.9124249404214386,-0.27418483008959776
382,49,67578,0.0,3368.1262359417333,4050.2,811.3305994010911,-105.44843906820395,3.20773927232546,-0.554259383266717
314,49,44345,5846.597961624289,16327.785790062626,1604.15,2106.717705935156,-105.31980598419851,15.550272181012025,-1.134476862929305
372,49,62483,0.0,2611.485495706202,2715.0699999999997,721.0525413221621,-102.20088705589822,2.5602798977511787,-0.6310612311489814
1092,49,71353,0.0,3531.0136290913247,2524.93,800.4499257875558,-99.41079175076074,3.5666804334255806,-0.47654738726236046
526,49,7024,24288.987388520716,33975.10692010651,38397.72,3836.420584910962,-97.53553175562472,34.668476449088274,-0.6868798695412701
1092,49,94591,0.0,4138.932549446736,1300.79,836.5233952069136,-93.91780894716445,4.403119733453974,-0.4291707725345261
202,49,70091,0.0,3301.49161864191,27413.18,746.3469807073601,-92.48840418737092,3.588577846349902,-0.8180713716621582
526,49,50833,0.0,3035.420657980474,14.75,717.4630646135668,-91.98244418122651,3.2993702804135587,-0.9474175425861607
221,49,81722,0.0,3070.3551445603316,1924.18,717.9739792264504,-91.31965883787049,3.374016642373991,-0.3501315333058418
374,49,73243,3246.161921659979,12214.76102511252,3829.3599999999997,1631.286447012713,-91.06896544476912,13.422814313310463,-0.9837753206763012
1572,49,123499,0.0,4574.056584284699,0.0,848.6398383749251,-86.94092887699006,5.257536303775516,-1.0310937100938686
1291,49,90850,0.0,3556.58744462647,511.61,741.81571802454,-85.8126607915318,4.135566796077291,-0.3363004709672976
381,49,21186,0.0,2690.0597650330947,1203.7099999999998,636.5886249337559,-81.68503298454365,3.2805606890647496,-0.17582144192201496
546,49,34659,1941.7638304716643,9621.961189501644,31241.870000000003,1325.642478421722,-80.76585766034614,11.878964431483512,-1.185877457884947
607,49,102144,0.0,3011.505064659322,9674.02,657.6565979430488,-79.22357588380368,3.8120317274168634,-0.2951537795827136
1109,49,135575,1015.202358260635,7898.990061730453,3005.7999999999997,1141.8545392009812,-78.21234067287463,10.126910335551864,-0.5763206964301476
122,49,28337,1539.5832246139294,8747.039422945261,4435.1,1222.9849397253145,-77.39577720684187,11.359791458370468,-0.4724384097630349
402,49,223749,0.0,1533.1519717804365,0.0,490.5303286715498,-74.93669588744581,2.044202629040582,-0.3658140997085703
507,49,134176,0.0,2970.023379344219,0.0,628.0084990673989,-73.55692469621711,4.013545107221918,-0.7157722687462902
303,49,58007,0.0,2070.4606690446017,1087.99,528.6142219693742,-71.45959001442533,2.916141787386763,-0.22198071724334237
526,49,61179,200.59163469189468,5333.962348285874,5189.15,854.6695761688652,-71.39407585339507,7.5126230257547535,-0.37795918449508814
370,49,104161,0.0,3353.202519716938,101.28,648.5123843468666,-69.59825163892731,4.79028931388134,-0.32386000457629593
547,49,59986,0.0,2342.9258930488036,499.33000000000004,534.9356997280323,-66.80958009403378,3.496904317983289,-0.2694963003627948
607,49,136036,0.0,2824.1881028736743,2683.2,579.9608996257291,-66.12046429741372,4.2790728831419305,-0.4777538522338988
365,49,103122,18.48327797716719,3808.4475687151808,0.0,676.1693081866998,-65.62767807004039,5.77037510411391,-0.7695950327446952
502,49,60768,0.0,2311.528124636518,53.190000000000005,523.8268122629272,-65.0386666220612,3.5561971148254123,-0.42632914153783696
283,49,53437,0.0,2591.798371965509,8449.37,549.3412417349174,-64.48031211963699,4.049684956196108,-0.3220339360314148
382,49,76953,0.0,2410.0456233836812,700.6999999999999,525.9828739898345,-63.32851370032587,3.8254692434661606,-0.4837176593030564
163,49,79835,39.13262338378613,3896.819993356145,1557.76,674.0539570229586,-63.19376837496535,6.1854285608827695,-0.3515391929117891
366,49,103349,164.98293927725456,4535.778203133688,1905.17,728.9338310886393,-61.19022461672677,7.435701972350309,-0.8665497043568405
526,49,122326,16937.445730371226,22942.94435571004,30196.729999999996,2566.515010897637,-60.49346118369622,38.23824059285006,-1.8716872175688317
305,49,65402,0.0,1680.1781937994467,756.8,430.13134769070103,-58.24745073572363,2.8968589548266324,-0.4277275236594437
507,49,51692,0.0,2280.0705525075255,961.83,480.07343199379227,-56.014750387342154,4.071554558049153,-0.9935879451947954
502,49,101402,0.0,1271.8917445976833,0.0,363.1134432286222,-52.427615281967526,2.4459456626878526,-0.5622095708460264
527,49,89403,0.0,996.0025394799628,155.93,328.31036500351854,-50.82446912344939,1.9529461558430643,-0.3368341195297522
163,49,85956,0.0,2396.493889231163,0.0,461.65283327486276,-49.334098744832545,4.890803855573802,-0.5916834968070502
1434,49,209111,0.0,1334.35379462535,2775.5,352.3754086927146,-48.65333982892881,2.72317100943949,-0.3112323467838354
1451,49,71142,597.2891146980601,4811.060094421957,200.73999999999998,697.9966595289807,-48.19792224150777,10.023041863379076,-1.0836475176782427
626,49,63433,0.0,2250.969050710811,417.44,441.2697689667684,-48.03841419904162,4.689518855647523,-0.4703161757244656
162,49,115636,58.6740053961943,3139.863502393456,109.81,526.0379106023229,-47.122568969550514,6.680560643390332,-0.3349056867024529
461,49,96566,0.0,1882.7247521536933,121.35,399.5170386843656,-46.943236326443625,4.005797345007858,-0.3596971299041535
1092,49,217390,0.0,1095.5291226820295,62.36,314.7712915221107,-45.604084278646155,2.38158504930876,-0.3370478802180155
526,49,69782,0.0,1739.8837346293235,461.52,373.01170199070697,-44.22740633950547,3.954281215066644,-0.31999842025850306
221,49,62137,0.0,1819.6998814417343,787.81,380.63581452269335,-44.14796141744887,4.135681548731214,-0.38012017655795655
507,49,79926,1426.8835566009893,5733.05270607446,8836.880000000001,771.5593369022727,-44.05645917662815,13.029665241078318,-0.7549744891314032
321,49,60390,5294.06359373556,9639.066761918546,10553.830000000002,1160.519513579864,-43.69174164177989,21.90696991345124,-1.7496733621408407
303,49,55013,0.0,1113.4606674862011,683.95,301.88091276787713,-42.34107689316822,2.651096827348098,-0.6439836745566451
382,49,116987,0.0,1629.8045007485987,637.3600000000001,347.3688317243873,-40.97519592211721,3.975132928655119,-0.739479883630024
168,49,86343,352.5755348064243,3741.1363361896247,10035.15,557.6313831298735,-40.78172211353577,9.124722771194207,-1.4752563946101394
646,49,153435,0.0,1193.6390678003572,0.0,299.6548140694665,-40.06464606431795,2.984097669500893,-0.3841325653276426
202,49,87461,0.0,1668.1081606944012,7140.17,346.9496087380619,-40.03084281524927,4.170270401736003,-0.6416821760724034
156,49,236970,0.0,1855.8885020092275,85.15,362.7540565512922,-39.37004585563765,4.7586884666903275,-0.5051241126215338
241,49,127424,186.35901884137917,3163.4878856011765,1685.3600000000001,491.2610739459076,-38.86939675239776,8.111507398977377,-0.3081062024405025
374,49,123146,8.952316476752573,2231.8959255701584,0.0,397.91617395298294,-38.828129199103806,5.722810065564508,-1.0206206290852293
324,49,126236,82.53320448595107,2759.150960616904,3890.71,450.29832669201073,-38.751829028960074,7.074746052863857,-0.6616406171972767
101,49,250911,0.0,1850.4678710689238,440.24,358.36329023546074,-38.514778473015184,4.744789412997241,-0.9086762606593445
283,49,75321,0.0,1582.6747601607376,1123.0299999999997,323.857019368156,-36.79767630046271,4.277499351785778,-0.35680252926705247
1349,49,87369,0.0,1387.4952969716956,246.89000000000001,300.146507261259,-35.86599501424209,3.8541536026991543,-0.6843083941172635
1435,49,196512,0.0,1672.0524863527298,433.48,325.7138613049972,-35.22413614882759,4.777292818150657,-1.0897962865793787
301,49,91118,4483.14567461684,7953.433693969636,1398.93,952.3875006240556,-34.89869582824267,22.724096268484672,-1.686345774984825
526,49,3911,5470.006311064781,8937.374136167053,13259.71,1050.697768533414,-34.88007887037976,25.535354674763006,-1.8090963577077241
370,49,47915,0.0,1411.9539925509116,2098.66,289.02265046203735,-32.85050026821026,4.2786484622754895,-0.24337160355567777
303,49,71086,0.0,1014.8192619584694,0.0,248.85485975950883,-32.749540791924865,3.0752098847226343,-0.580513627038738
82,49,127458,0.0,688.2468841456418,0.0,215.51149446892083,-32.597068012079255,2.085596618623157,-0.2944862112872393
344,49,7053,0.0,755.0849228014072,401.41,221.20297663252285,-32.37655207830714,2.3596403837543973,-0.5600538460235199
367,49,24187,0.0,1040.6412760426556,338.61,240.7649097617854,-30.37795159055996,3.468804253475519,-0.6753260264752299
527,49,64378,0.0,822.2934449102518,38.96000000000001,217.54899722818163,-30.071033941590326,2.740978149700839,-0.5009667509588928
153,49,89065,0.0,1140.1486749303035,2304.91,249.30542698013247,-30.06456877491158,3.8004955831010117,-0.3082859062095284
305,49,85219,0.0,668.4422689550352,0.0,199.34408192918417,-29.444412229706813,2.304973341224259,-0.3646770908998774
1435,49,183869,0.0,1000.7614531652673,567.44,231.3207825126807,-29.165474932478652,3.450901562638853,-0.6275732244125186
221,49,63211,8268.73423806566,10999.745765176962,3295.7500000000005,1223.7950410400927,-27.515658782754777,39.284806304203435,-2.6823577965225507
1291,49,90149,921.2684625196966,3541.114521822767,205.92000000000002,474.1272896417839,-26.670186102112705,13.115238969713952,-1.1093910240901503
1572,49,55195,0.0,1048.4871626774207,415.08,224.0909829249759,-26.49828147938529,4.032642933374695,-0.5220968090974007
