Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
73658,1887.5550909090907,14.627757575757569,14.627757575757569,19533.800000000003,20996.57575757576,20690.39411873886,14780.798777557655,2609.9400000000005,18386.635757575757,18080.45411873886,12170.858777557654,0,0,1
45308,68195.81054545454,14.901212121212044,14.901212121212044,683931.0700000001,684118.7812121212,665139.9620827576,500473.68260033044,551531.6900000001,132587.0912121212,113608.27208275755,51058.007399669616,0,0,1
73319,522.3140000000001,15.411999999999992,15.411999999999992,5916.68,7457.879999999999,7407.220985289412,7505.205944433183,4820.98,2636.8999999999996,2586.2409852894125,2684.225944433183,0,1,0
116969,2606.905818181818,19.09715151515153,19.09715151515153,27108.04,28838.14515151515,24872.579682518848,20810.203934995203,7553.820000000001,21284.32515151515,17318.75968251885,13256.383934995203,0,0,1
43197,1223.114909090909,-21.92042424242424,21.92042424242424,11244.73,9052.687575757573,9110.461454078088,6785.131403338921,7693.57,1359.117575757573,1416.891454078088,908.4385966610789,0,0,1
58390,755.8514545454545,-23.14187878787878,23.14187878787878,6517.13,4202.942121212122,3443.480419759201,12770.411451959146,779.62,3423.3221212121225,2663.8604197592012,11990.791451959145,0,1,0
118182,685.5803636363637,-23.71830303030303,23.71830303030303,5788.48,3416.649696969698,3503.313599279641,17642.68823625602,2596.46,820.1896969696982,906.853599279641,15046.228236256022,1,0,0
70445,1206.038545454545,-26.86412121212121,26.86412121212121,10851.5,8165.087878787877,8022.268015961266,16448.106988963496,477.75,7687.337878787877,7544.518015961266,15970.356988963496,0,1,0
72024,4140.8758181818175,-27.166181818181823,27.166181818181823,40270.38,37469.661818181805,36572.96057667114,24221.314505863425,29421.82,8047.841818181805,7151.14057667114,5200.505494136574,0,0,1
125120,1140.5469090909091,-28.27709090909091,28.27709090909091,10166.24,7305.290909090909,7477.569049900408,30939.10192415161,444.48,6860.810909090909,7033.089049900407,30494.621924151612,1,0,0
68231,810.0998181818183,29.67515151515153,29.67515151515153,9475.68,12403.895151515157,12490.500495689324,5885.853068574717,8269.58,4134.315151515157,4220.9204956893245,2383.7269314252826,0,0,1
50920,5504.347636363637,-30.342363636363668,30.342363636363668,53964.01,50643.83363636365,44015.640796764645,40435.80407329407,15454.669999999998,35189.16363636365,28560.970796764646,24981.134073294073,0,0,1
77554,1288.3032727272728,31.831939393939383,31.831939393939383,14431.39,17498.66393939394,17623.047798447533,9565.705256212757,15164.86,2333.80393939394,2458.1877984475323,5599.154743787243,1,0,0
2460,21841.10927272728,33.53727272727252,33.53727272727252,220201.2,223273.9972727273,220235.41079622187,149401.1991244864,163947.11,59326.88727272733,56288.30079622188,14545.910875513597,0,0,1
50454,1681.6025454545454,-34.68945454545455,34.68945454545455,16002.74,11786.054545454544,11353.06521847038,22743.380222373737,2734.9999999999995,9051.054545454544,8618.06521847038,20008.380222373737,0,1,0
59777,1251.5501818181815,-36.53381818181819,36.53381818181819,10892.48,7218.098181818179,7209.170506627182,13931.463983723159,13560.259999999998,6342.161818181819,6351.089493372817,371.2039837231605,0,0,1
37646,5366.331636363637,-37.01036363636363,37.01036363636363,53401.100000000006,48296.81363636365,46700.212900536106,45150.22154101691,50661.96000000001,2365.146363636355,3961.7470994639007,5511.738458983098,1,0,0
50623,1073.544181818182,-37.24848484848485,37.24848484848485,9059.259999999998,5334.411515151516,5502.497557900433,14293.8574289768,2766.89,2567.5215151515163,2735.607557900433,11526.9674289768,1,0,0
20972,2405.9238181818178,-39.12618181818181,39.12618181818181,22298.56,18385.94181818181,17582.049934380226,19449.97711737301,19898.53,1512.5881818181879,2316.480065619773,448.5528826269874,0,0,1
29269,1782.2267272727272,-39.3199393939394,39.3199393939394,16164.3,12120.87606060606,12259.389226701373,17027.661243705996,17840.57,5719.693939393939,5581.180773298627,812.908756294004,0,0,1
7024,2847.157272727273,-40.61139393939396,40.61139393939396,26655.81,22582.920606060605,22455.07122969577,19644.995172098148,32852.17999999999,10269.259393939388,10397.108770304221,13207.184827901845,1,0,0
66148,2405.0314545454544,-46.17187878787878,46.17187878787878,21988.77,17355.39212121212,15963.162450463602,16554.793508595933,8622.440000000002,8732.952121212118,7340.7224504636,7932.35350859593,0,1,0
14005,4122.522363636364,-46.17630303030305,46.17630303030305,39321.95,34529.6596969697,35053.08127786556,22994.772249016714,28745.44,5784.2196969697,6307.641277865561,5750.667750983284,0,0,1
51172,4382.8240000000005,-46.39933333333335,46.39933333333335,41740.27,37100.33666666666,36235.11523296088,26634.666565326006,43019.42,5919.083333333336,6784.304767039117,16384.753434673992,1,0,0
